Start Time,Duration,Gender,Event_ID,Category,Behavior,Unit Count,At-Shelf Interaction,Ethnicity,Age
2015-12-19T12:05:37.800000,10.4,Female,10,Canned,"0.00,;3.40,Start Shop;7.40,Buy;7.80,Stop Shop","0.00,;7.40,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:07:21.600000,3.4,Male,13,Canned,"0.00,;0.80,Start Shop;2.40,Buy;2.80,Stop Shop","0.00,;2.40,1",Grab & Go,Caucasian,Millenial (18-34)
2015-12-19T12:39:48,11.4,Female,55,Canned,"0.00,;1.60,Start Shop;4.40,Buy;4.80,Stop Shop","0.00,;4.40,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:47:14.600000,20.0,Female,61,Canned,"0.00,;1.20,Start Shop;8.40,Stop Shop;14.40,Start Shop;19.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:48:23.600000,4.0,Female,65,Canned,"0.00,;0.80,Start Shop;2.40,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T13:01:35.200000,9.4,Female,77,Canned,"0.00,;1.00,Start Shop;8.20,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T13:02:37.400000,7.0,Female,80,Canned,"0.00,;1.80,Start Shop;4.60,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T13:02:38,5.2,Female,81,Canned,"0.00,;2.00,Start Shop;5.20,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:34:57.200000,14.6,Female,186,Canned,"0.00,;1.00,Start Shop;2.00,Buy;2.20,Stop Shop","0.00,;2.00,1",Visual,Caucasian,Adult (35-54)
2015-12-19T17:38:31.800000,7.0,Male,192,Canned,"0.00,;1.60,Start Shop;4.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:39:38,22.0,Male,194,Canned,"0.00,;3.40,Start Shop;19.20,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:43:48.800000,10.4,Female,197,Canned,"0.00,;1.20,Start Shop;4.00,Buy;4.40,Stop Shop","0.00,;4.00,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T18:11:34.400000,12.0,Male,226,Canned,"0.00,;0.60,Start Shop;2.40,Buy;2.80,Stop Shop","0.00,;2.40,1",Visual,Caucasian,Adult (35-54)
2015-12-19T18:46:22.200000,64.2,Male,271,Canned,"0.00,;2.20,Start Shop;28.80,Buy;29.20,Stop Shop","0.00,;28.80,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T18:49:30.600000,38.6,Female,276,Canned,"0.00,;3.20,Start Shop;35.40,Buy;35.80,Stop Shop","0.00,;35.40,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T18:54:39.600000,13.0,Female,280,Canned,"0.00,;2.20,Start Shop;11.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
