Start Time,Duration,Gender,Event_ID,Category,Behavior,Unit Count,At-Shelf Interaction,Ethnicity,Age
2015-12-19T12:06:24.800000,7.0,Male,12,CheeseCurls,"0.00,;1.60,Start Shop;3.40,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:25:33,10.0,Male,41,CheeseCurls,"0.00,;1.20,Start Shop;3.60,Stop Shop","0.00,;3.20,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T12:38:02.400000,14.6,Male,54,CheeseCurls,"0.00,;3.80,Start Shop;9.60,Stop Shop",,Visual,Caucasian,Senior (>54)
2015-12-19T12:47:28.800000,8.4,Female,60,CheeseCurls,"0.00,;1.80,Start Shop;6.20,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:48:16.200000,7.0,Female,65,CheeseCurls,"0.00,;1.20,Start Shop;5.80,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:49:24.400000,11.0,Male,69,CheeseCurls,"0.00,;0.80,Start Shop;7.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:25:00.800000,69.2,Female,173,CheeseCurls,"0.00,;2.20,Start Shop;34.00,Buy;34.60,Stop Shop;40.40,Start Shop;64.80,Buy;65.20,Stop Shop","0.00,;34.00,1;64.80,1",Visual,Caucasian,Adult (35-54)
2015-12-19T17:32:16.400000,140.0,Female,180,CheeseCurls,"0.00,;2.00,Start Shop;22.60,Buy;22.80,Stop Shop;36.80,Start Shop;45.00,Stop Shop;73.40,Start Shop;85.00,Buy;85.40,Stop Shop;110.80,Start Shop;122.40,Stop Shop","0.00,;22.60,1;85.00,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T17:32:21.200000,16.0,Male,182,CheeseCurls,"0.00,;2.60,Start Shop;14.20,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:34:42,13.0,Female,186,CheeseCurls,"0.00,;9.20,Start Shop;11.20,Buy;11.60,Stop Shop","0.00,;11.20,1",Grab & Go,Caucasian,Adult (35-54)
2015-12-19T17:38:40,38.6,Male,192,CheeseCurls,"0.00,;1.20,Start Shop;33.60,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T18:15:19.600000,10.4,Female,236,CheeseCurls,"0.00,;1.20,Start Shop;7.80,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T18:24:27.200000,7.0,Female,250,CheeseCurls,"0.00,;2.40,Start Shop;5.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T18:54:23.600000,7.0,Male,278,CheeseCurls,"0.00,;2.60,Start Shop;5.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-24T12:16:04.800000,35.6,Male,,CheeseCurls,"0.00,;6.00,Start Shop;9.40,Buy;9.80,Stop Shop;12.00,Start Shop;26.80,Buy;27.20,Stop Shop","0.00,;9.40,1;26.80,1",Visual,Caucasian,Adult (35-54)
2015-12-24T12:42:17.800000,8.4,Male,,CheeseCurls,"0.00,;1.80,Start Shop;7.40,Stop Shop","0.00,",Visual,Caucasian,Adult (35-54)
2015-12-24T12:46:40.800000,44.0,Male,,CheeseCurls,"0.00,;3.40,Start Shop;15.20,Buy;15.60,Stop Shop;19.80,Start Shop;37.20,Buy;37.60,Stop Shop","0.00,;15.20,1;37.20,1",Visual,Caucasian,Millenial (18-34)
2015-12-24T12:50:03,10.4,Female,,CheeseCurls,"0.00,;2.00,Start Shop;7.00,Buy;7.60,Stop Shop","0.00,;7.00,1",Visual,Caucasian,Millenial (18-34)
2015-12-24T13:09:11.800000,21.0,Male,,CheeseCurls,"0.00,;3.00,Start Shop;18.20,Stop Shop","0.00,",Visual,Caucasian,Millenial (18-34)
2015-12-24T13:16:50.200000,37.0,Male,,CheeseCurls,"0.00,;3.40,Start Shop;35.60,Stop Shop","0.00,",Visual,Caucasian,Adult (35-54)
2015-12-24T13:17:12.200000,16.0,Female,,CheeseCurls,"0.00,;0.60,Start Shop;14.00,Stop Shop","0.00,",Visual,Caucasian,Adult (35-54)
2015-12-24T13:18:28.800000,45.6,Male,,CheeseCurls,"0.00,;3.60,Start Shop;37.00,Buy;37.40,Stop Shop","0.00,;37.00,1",Label Reading,Caucasian,Adult (35-54)
2015-12-24T13:18:30.400000,44.0,Female,,CheeseCurls,"0.00,;2.60,Start Shop;41.60,Stop Shop","0.00,",Visual,Caucasian,Adult (35-54)
2015-12-24T13:29:29,21.8,Female,,CheeseCurls,"0.00,;3.20,Start Shop;19.60,Stop Shop","0.00,",Label Reading,Caucasian,Millenial (18-34)
2015-12-24T13:32:11.200000,29.0,Female,,CheeseCurls,"0.00,;3.00,Start Shop;19.60,Buy;20.00,Stop Shop","0.00,;19.60,2",Label Reading,Caucasian,Millenial (18-34)
2015-12-24T17:43:11.200000,35.6,Female,,CheeseCurls,"0.00,;5.20,Start Shop;30.60,Stop Shop","0.00,",Visual,Caucasian,Child (<18)
2015-12-24T17:43:13.400000,31.2,Female,,CheeseCurls,"0.00,;2.00,Start Shop;18.40,Stop Shop;21.80,Start Shop;26.20,Stop Shop","0.00,",Visual,Caucasian,Adult (35-54)
2015-12-24T17:43:17.600000,28.2,Female,,CheeseCurls,"0.00,;1.00,Start Shop;20.60,Buy;21.20,Stop Shop","0.00,;20.60,1",Visual,Caucasian,Child (<18)
