Start Time,Duration,Gender,Event_ID,Category,Behavior,Unit Count,At-Shelf Interaction,Ethnicity,Age
2015-12-19T12:01:10.400000,29.2,Male,1,PChips,"0.00,;7.60,Start Shop;20.00,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:04:58,66,Male,8,PChips,"0.00,;14.20,Start Shop;25.20,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:06:22.200000,122,Male,12,PChips,"0.00,;34.60,Start Shop;114.40,Buy;119.40,Stop Shop","0.00,;114.40,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:07:44.600000,65.2,Female,14,PChips,"0.00,;8.20,Start Shop;44.60,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:07:49.600000,329.8,Female,15,PChips,"0.00,;15.60,Start Shop;46.00,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:08:55.800000,22,Female,17,PChips,"0.00,;1.60,Start Shop;5.80,Buy;18.60,Stop Shop","0.00,;5.80,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:12:57.200000,20,Female,23,PChips,"0.00,;11.20,Start Shop;13.40,Buy;15.80,Stop Shop","0.00,;13.40,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T12:14:39,96,Female,25,PChips,"0.00,;17.40,Start Shop;22.00,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:14:42.800000,58,Male,26,PChips,"0.00,;7.60,Start Shop;13.80,Buy;19.60,Stop Shop","0.00,;13.80,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:16:28,36.6,Female,28,PChips,"0.00,;8.60,Start Shop;10.80,Buy;14.20,Stop Shop","0.00,;10.80,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:16:31.800000,36.6,Female,29,PChips,"0.00,;2.60,Start Shop;9.60,Buy;14.20,Stop Shop","0.00,;9.60,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:18:02.400000,57,Male,34,PChips,"0.00,;2.40,Start Shop;36.80,Buy;48.80,Stop Shop","0.00,;36.80,1",Label Reading,Hispanic,Adult (35-54)
2015-12-19T12:19:57.600000,65.2,Male,36,PChips,"0.00,;21.40,Start Shop;48.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:26:57.400000,141.4,Female,42,PChips,"0.00,;101.20,Start Shop;124.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:41:18.600000,94.2,Female,56,PChips,"0.00,;62.60,Start Shop;68.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:47:10.200000,113.8,Female,60,PChips,"0.00,;59.20,Start Shop;80.00,Buy;87.40,Stop Shop","0.00,;80.00,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T12:47:14.600000,116,Female,61,PChips,"0.00,;69.20,Start Shop;84.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:47:38.400000,48,Female,65,PChips,"0.00,;7.60,Start Shop;11.40,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:49:36.800000,59.4,Male,70,PChips,"0.00,;4.40,Start Shop;6.40,Buy;9.60,Stop Shop","0.00,;6.40,1",Grab & Go,Caucasian,Adult (35-54)
2015-12-19T13:01:14.400000,31.2,Female,76,PChips,"0.00,;14.40,Start Shop;24.60,Buy;28.60,Stop Shop","0.00,;24.60,2",Label Reading,Caucasian,Adult (35-54)
2015-12-19T13:02:37.400000,37,Female,80,PChips,"0.00,;21.80,Start Shop;30.20,Buy;35.60,Stop Shop","0.00,;30.20,1",Visual,Caucasian,Adult (35-54)
2015-12-19T13:09:30.200000,28.2,Female,87,PChips,"0.00,;9.40,Start Shop;14.40,Buy;18.40,Stop Shop","0.00,;14.40,1",Visual,Caucasian,Adult (35-54)
2015-12-19T13:10:45.600000,36,Male,88,PChips,"0.00,;16.20,Start Shop;25.20,Buy;28.60,Stop Shop","0.00,;25.20,2",Visual,Caucasian,Adult (35-54)
2015-12-19T13:19:17.400000,34.6,Female,97,PChips,"0.00,;6.00,Start Shop;32.40,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T13:21:20,18,Female,103,PChips,"0.00,;2.60,Start Shop;10.80,Buy;14.20,Stop Shop","0.00,;10.80,1",Grab & Go,Caucasian,Millenial (18-34)
2015-12-19T13:23:39.400000,66,Female,104,PChips,"0.00,;36.60,Start Shop;48.20,Buy;57.20,Stop Shop","0.00,;48.20,3",Visual,Caucasian,Adult (35-54)
2015-12-19T13:27:03,55.4,Female,108,PChips,"0.00,;28.60,Start Shop;34.60,Buy;36.40,Stop Shop;44.80,Start Shop;49.40,Buy;53.60,Stop Shop","0.00,;34.60,1;49.40,1",Visual,Caucasian,Senior (>54)
2015-12-19T13:32:34.600000,22,Female,114,PChips,"0.00,;3.20,Start Shop;19.60,Stop Shop",,Visual,Caucasian,Child (<18)
2015-12-19T13:40:32.200000,74.2,Female,122,PChips,"0.00,;5.80,Start Shop;32.60,Buy;35.80,Stop Shop;50.20,Start Shop;54.80,Buy;57.40,Stop Shop","0.00,;32.60,2;54.80,1",Label Reading,Caucasian,Adult (35-54)
2015-12-19T13:41:07.200000,27.2,Male,123,PChips,"0.00,;14.40,Start Shop;23.20,Buy;25.60,Stop Shop","0.00,;23.20,1",Visual,Caucasian,Adult (35-54)
2015-12-19T13:48:41,39.6,Female,130,PChips,"0.00,;22.00,Start Shop;27.40,Buy;33.60,Stop Shop","0.00,;27.40,1",Visual,Caucasian,Adult (35-54)
2015-12-19T13:33:19.400000,41.6,Male,116,PChips,"0.00,;18.20,Start Shop;25.80,Buy;35.60,Stop Shop","0.00,;25.80,2",Visual,Caucasian,Millenial (18-34)
