Start Time,Duration,Gender,Event_ID,Category,Behavior,Unit Count,At-Shelf Interaction,Ethnicity,Age
2015-12-19T12:47:38.400000,48,Female,65,Pretzels,"0.00,;19.20,Start Shop;22.20,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T12:49:20.200000,65.2,Male,69,Pretzels,"0.00,;31.80,Start Shop;43.60,Buy;51.20,Stop Shop","0.00,;43.60,2",Visual,Caucasian,Adult (35-54)
2015-12-19T13:19:43.200000,34,Male,99,Pretzels,"0.00,;21.20,Start Shop;33.00,Buy;33.60,Stop Shop","0.00,;33.00,1",Visual,Caucasian,Child (<18)
2015-12-19T13:19:44.200000,34,Female,101,Pretzels,"0.00,;25.40,Start Shop;33.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:00:21,118.8,Male,135,Pretzels,"0.00,;16.40,Start Shop;33.40,Buy;41.60,Stop Shop","0.00,;33.40,1",Visual,Caucasian,Senior (>54)
2015-12-19T17:00:21,134,Female,136,Pretzels,"0.00,;68.80,Start Shop;73.20,Stop Shop",,Visual,Caucasian,Senior (>54)
2015-12-19T17:46:48.200000,86.2,Female,199,Pretzels,"0.00,;49.80,Start Shop;69.40,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:46:50.200000,87.2,Male,201,Pretzels,"0.00,;45.60,Start Shop;69.20,Buy;73.20,Stop Shop","0.00,;69.20,1",Visual,Caucasian,Adult (35-54)
2015-12-19T17:53:22.800000,125.8,Male,206,Pretzels,"0.00,;83.80,Start Shop;110.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:57:29.400000,79.2,Male,209,Pretzels,"0.00,;24.00,Start Shop;65.20,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:57:31,84.2,Male,210,Pretzels,"0.00,;35.60,Start Shop;44.60,Buy;47.40,Stop Shop","0.00,;44.60,2",Visual,Caucasian,Adult (35-54)
2015-12-19T18:10:42.400000,36,Male,227,Pretzels,"0.00,;11.00,Start Shop;18.60,Stop Shop",,Visual,Caucasian,Adult (35-54)
