Start Time,Duration,Gender,Event_ID,Category,Behavior,Unit Count,At-Shelf Interaction,Ethnicity,Age
2015-12-19T12:04:58,66,Male,8,PuffsNatural,"0.00,;38.40,Start Shop;55.80,Buy;56.40,Stop Shop","0.00,;55.80,1",Visual,Caucasian,Adult (35-54)
2015-12-19T12:29:56.600000,55.4,Male,44,PuffsNatural,"0.00,;37.20,Start Shop;39.40,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T12:37:07.800000,69.2,Male,54,PuffsNatural,"0.00,;16.60,Start Shop;17.80,Buy;18.60,Stop Shop","0.00,;17.80,1",Grab & Go,Caucasian,Senior (>54)
2015-12-19T12:41:18.600000,94.2,Female,56,PuffsNatural,"0.00,;58.00,Start Shop;77.80,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T13:28:14.600000,38.6,Male,110,PuffsNatural,"0.00,;14.20,Start Shop;26.60,Buy;29.00,Stop Shop","0.00,;26.60,2",Visual,Caucasian,Adult (35-54)
2015-12-19T13:32:31.600000,26.2,Male,113,PuffsNatural,"0.00,;21.00,Start Shop;25.60,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T13:32:34.600000,30.2,Female,114,PuffsNatural,"0.00,;16.60,Start Shop;30.20,Stop Shop",,Visual,Caucasian,Child (<18)
2015-12-19T13:33:19.400000,21,Male,116,PuffsNatural,"0.00,;11.80,Start Shop;20.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T13:43:54.400000,90.2,Male,125,PuffsNatural,"0.00,;14.40,Start Shop;29.20,Buy;33.40,Stop Shop;40.80,Start Shop;44.80,Buy;46.40,Stop Shop;52.60,Start Shop;56.60,Stop Shop;65.40,Start Shop;70.00,Buy;71.40,Stop Shop;74.40,Start Shop;78.60,Buy;79.40,Stop Shop","0.00,;29.20,1;44.80,1;70.00,1;78.60,1",Visual,Caucasian,Adult (35-54)
2015-12-19T13:43:55.600000,88.2,Male,126,PuffsNatural,"0.00,;13.80,Start Shop;19.80,Stop Shop;20.80,Start Shop;24.20,Buy;25.40,Stop Shop","0.00,;24.20,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T13:54:46,36,Male,133,PuffsNatural,"0.00,;22.80,Start Shop;26.00,Buy;33.60,Stop Shop","0.00,;26.00,1",Visual,Caucasian,Millenial (18-34)
2015-12-19T17:00:21.400000,134,Male,135,PuffsNatural,"0.00,;22.20,Start Shop;26.60,Stop Shop",,Visual,Caucasian,Senior (>54)
2015-12-19T17:07:09,74,Female,145,PuffsNatural,"0.00,;8.20,Start Shop;25.00,Stop Shop;35.00,Start Shop;45.40,Buy;48.40,Stop Shop;49.20,Start Shop;53.20,Buy;54.00,Stop Shop","0.00,;45.40,1;53.20,1",Label Reading,Caucasian,Adult (35-54)
2015-12-19T17:07:10.200000,73,Female,146,PuffsNatural,"0.00,;8.80,Start Shop;54.20,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:07:37.200000,123,Female,147,PuffsNatural,"0.00,;38.40,Start Shop;41.00,Buy;41.60,Stop Shop;45.20,Start Shop;54.80,Buy;55.60,Stop Shop","0.00,;41.00,1;54.80,1",Visual,Hispanic,Millenial (18-34)
2015-12-19T17:07:40.200000,120,Male,148,PuffsNatural,"0.00,;38.60,Start Shop;66.00,Stop Shop",,Visual,Hispanic,Millenial (18-34)
2015-12-19T17:17:38.800000,74.2,Male,161,PuffsNatural,"0.00,;37.20,Start Shop;44.60,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:18:15.800000,133.4,Female,165,PuffsNatural,"0.00,;14.40,Start Shop;20.80,Buy;21.40,Stop Shop;60.00,Start Shop;62.00,Stop Shop;72.60,Start Shop;85.00,Buy;95.80,Stop Shop","0.00,;20.80,1;85.00,1",Label Reading,Caucasian,Millenial (18-34)
2015-12-19T17:24:57.800000,111,Female,173,PuffsNatural,"0.00,;85.80,Start Shop;100.20,Buy;101.60,Stop Shop;105.00,Start Shop;105.60,Buy;106.20,Stop Shop","0.00,;100.20,1;105.60,1",Visual,Caucasian,Adult (35-54)
2015-12-19T17:32:18.600000,204,Male,182,PuffsNatural,"0.00,;45.00,Start Shop;47.80,Stop Shop;67.60,Start Shop;77.60,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T17:35:37.600000,165,Female,188,PuffsNatural,"0.00,;74.60,Start Shop;81.20,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T17:40:37.600000,81.2,Male,196,PuffsNatural,"0.00,;11.80,Start Shop;13.40,Stop Shop",,Visual,Caucasian,Millenial (18-34)
2015-12-19T18:01:19.800000,86.2,Female,211,PuffsNatural,"0.00,;33.40,Start Shop;34.80,Stop Shop;75.80,Start Shop;86.20,Stop Shop",,Visual,Hispanic,Child (<18)
2015-12-19T18:01:20.400000,87.2,Female,215,PuffsNatural,"0.00,;72.80,Start Shop;85.40,Stop Shop",,Visual,Hispanic,Adult (35-54)
2015-12-19T18:08:35,39.6,Female,225,PuffsNatural,"0.00,;28.80,Start Shop;36.40,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T18:14:14.200000,9.4,Male,234,PuffsNatural,"0.00,;8.00,Start Shop;8.60,Buy;8.80,Stop Shop","0.00,;8.60,1",Grab & Go,Caucasian,Adult (35-54)
2015-12-19T18:17:13.800000,65.2,Male,240,PuffsNatural,"0.00,;13.60,Start Shop;65.40,Stop Shop",,Visual,Caucasian,Adult (35-54)
2015-12-19T18:17:14.800000,66.2,Male,241,PuffsNatural,"0.00,;13.20,Start Shop;15.80,Buy;63.00,Stop Shop","0.00,;15.80,3",Visual,Caucasian,Adult (35-54)
2015-12-19T18:27:35.600000,73.2,Male,253,PuffsNatural,"0.00,;69.20,Start Shop;72.40,Stop Shop",,Visual,Caucasian,Adult (35-54)
